,OBJECTID,PROVINCIA,DISTRITO,CORREGIMIENTO,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID
0,1,BOCAS DEL TORO,ALMIRANTE ,ALMIRANTE,173.0,2.0,91.0,5.0,0.0,75.0,346369.150995846,1030532.46457369,08f034d6-b3cb-4e7b-b83e-3d5daf27bce2
1,2,BOCAS DEL TORO,ALMIRANTE ,BARRIADA GUAYMI,45.0,1.0,34.0,0.0,0.0,10.0,342539.236441612,1028734.63230929,9d478d16-2a25-4937-937f-9526d02b4944
2,3,BOCAS DEL TORO,ALMIRANTE ,BARRIO FRANCES,12.0,0.0,12.0,0.0,0.0,0.0,349423.16410951,1028421.26668952,09d699bd-b2d3-4a64-a36b-214ec3ccb36e
3,4,BOCAS DEL TORO,ALMIRANTE ,NANCE DEL RISCO,5.0,0.0,5.0,0.0,0.0,0.0,318764.703966952,1002576.44698399,f974f4dd-6fd1-4f70-81e8-538864385bde
4,5,BOCAS DEL TORO,ALMIRANTE ,VALLE DE AGUA ARRIBA,3.0,0.0,2.0,0.0,0.0,1.0,349056.946779809,1019404.93793421,fd3d32d6-077e-4892-a60a-f1cda45f184b
5,6,BOCAS DEL TORO,ALMIRANTE ,VALLE DEL RISCO,9.0,0.0,5.0,0.0,0.0,4.0,341365.104564858,996900.77243708,e9475b67-0c0d-4294-9440-4401665f5fe3
6,7,BOCAS DEL TORO,BOCAS DEL TORO,BASTIMENTOS,9.0,0.0,6.0,0.0,0.0,3.0,374321.326994898,1028586.63749813,6c021b5b-8473-4c37-a170-85e86e94aaaf
7,8,BOCAS DEL TORO,BOCAS DEL TORO,BOCAS DEL TORO (CABECERA),130.0,2.0,58.0,4.0,0.0,66.0,359778.231045938,1038965.26877418,0631d945-0264-42bd-996b-3e2d1de31bc2
8,9,BOCAS DEL TORO,BOCAS DEL TORO,CAUCHERO,3.0,0.0,1.0,0.0,0.0,2.0,350538.444642533,1009391.18664396,fcf21105-ea0a-4640-ae39-eba991da36b5
9,10,BOCAS DEL TORO,BOCAS DEL TORO,PUNTA LAUREL,1.0,0.0,1.0,0.0,0.0,0.0,378375.07467149,1014627.33299316,a879ea45-7db9-4a70-866f-fcb042edf8d3
10,11,BOCAS DEL TORO,BOCAS DEL TORO,TIERRA OSCURA,,,,,,,368003.710530591,1015083.80029941,8be8b039-75e3-4119-9581-fb9d4b0def37
11,12,BOCAS DEL TORO,CHANGUINOLA,BARRIADA 4 DE ABRIL,21.0,0.0,7.0,0.0,0.0,14.0,331044.869860069,1046876.31418191,8551480b-4b43-4a93-a866-c925cc53f0b9
12,13,BOCAS DEL TORO,CHANGUINOLA,CHANGUINOLA (CABECERA),873.0,11.0,229.0,13.0,1.0,619.0,332919.652803794,1044865.69123341,e95480a2-43e1-4895-ac94-1c77b8e44ee1
13,14,BOCAS DEL TORO,CHANGUINOLA,COCHIGRO,,,,,,,328670.442333238,1024445.28015562,26c9312e-31a7-4237-9cad-5ad69a9eab77
14,15,BOCAS DEL TORO,CHANGUINOLA,EL EMPALME,269.0,4.0,89.0,8.0,0.0,168.0,334944.548963318,1040835.35837279,359cc567-873c-4f2a-9844-80a7f2690a72
15,16,BOCAS DEL TORO,CHANGUINOLA,EL SILENCIO,49.0,2.0,21.0,1.0,0.0,25.0,326760.715547636,1039074.84452504,41c2b957-aa7d-4615-adde-226212b152fa
16,17,BOCAS DEL TORO,CHANGUINOLA,EL TERIBE,6.0,0.0,4.0,0.0,0.0,2.0,307758.311810393,1025816.10357151,fc26bfeb-5f32-4040-bc85-875e50e70887
17,18,BOCAS DEL TORO,CHANGUINOLA,FINCA 30,118.0,1.0,32.0,3.0,0.0,82.0,328962.236333161,1042946.60321271,72530b71-a52e-49bd-ad7a-912d1177e4fb
18,19,BOCAS DEL TORO,CHANGUINOLA,FINCA 6,77.0,0.0,29.0,2.0,0.0,46.0,335530.824141061,1049100.04785054,84b87d59-33da-42c1-839b-e08353a95519
19,20,BOCAS DEL TORO,CHANGUINOLA,FINCA 60,84.0,0.0,17.0,2.0,0.0,65.0,337499.020321664,1044851.67197857,d1ca703c-8061-48cd-9db1-612ff898b41c
20,21,BOCAS DEL TORO,CHANGUINOLA,GUABITO,105.0,2.0,44.0,2.0,0.0,57.0,324702.56989255,1049087.65028241,779a8f4f-04b9-4ed3-857b-d592dfd4fc73
21,22,BOCAS DEL TORO,CHANGUINOLA,LA GLORIA,5.0,0.0,2.0,0.0,0.0,3.0,341730.737383481,1037335.04262065,7a0473fe-613a-45d0-9671-6fba357aa3a4
22,23,BOCAS DEL TORO,CHANGUINOLA,LAS DELICIAS,1.0,0.0,1.0,0.0,0.0,0.0,296738.004302605,1041772.70997619,1b527cae-d174-40c5-a093-7fd208b680b7
23,24,BOCAS DEL TORO,CHANGUINOLA,LAS TABLAS,82.0,0.0,61.0,2.0,0.0,19.0,308732.946585943,1054256.04530661,082e08bf-b852-483a-b296-8190d33aff6a
24,25,BOCAS DEL TORO,CHIRIQUÍ GRANDE,BAJO CEDRO,10.0,0.0,7.0,0.0,0.0,3.0,357130.618535795,1008237.18445953,aaae1f4a-5d3a-47a5-ad66-3594b8b2699d
25,26,BOCAS DEL TORO,CHIRIQUÍ GRANDE,CHIRIQUI GRANDE (CABECERA),136.0,0.0,14.0,3.0,0.0,119.0,377288.409282109,987690.704339222,9ef32833-3d4b-40d0-9d4b-083685847842
26,27,BOCAS DEL TORO,CHIRIQUÍ GRANDE,MIRAMAR,26.0,0.0,3.0,0.0,0.0,23.0,365819.058036094,993425.31268235,4faff4e5-6e1b-4e69-b86a-0fc22ca1bebf
27,28,BOCAS DEL TORO,CHIRIQUÍ GRANDE,PUNTA PEÑA,15.0,0.0,6.0,0.0,0.0,9.0,370752.54179355,982957.260825289,c4b636fe-2ec8-4910-acd1-e8fbdc48b4d7
28,29,BOCAS DEL TORO,CHIRIQUÍ GRANDE,PUNTA ROBALO,1.0,0.0,1.0,0.0,0.0,0.0,359517.135440503,999752.741040041,e592d353-9278-4e96-82e5-78ead7355e4a
29,30,BOCAS DEL TORO,CHIRIQUÍ GRANDE,RAMBALA,17.0,0.0,3.0,0.0,0.0,14.0,370410.836103187,989351.909815573,f2188949-507d-44bc-959c-a126a408302e
30,31,CHIRIQUÍ,ALANJE,ALANJE (CABECERA),89.0,4.0,52.0,4.0,0.0,29.0,328392.58412157,929106.281610991,34355c4a-434a-46e0-a269-517b0c0f66ec
31,32,CHIRIQUÍ,ALANJE,CANTA GALLO,7.0,2.0,0.0,1.0,0.0,4.0,321451.33292691,927219.383401854,7e972589-17b2-4c6a-993a-854c152866c1
32,33,CHIRIQUÍ,ALANJE,DIVALA,192.0,5.0,29.0,2.0,0.0,156.0,314249.41848945,929310.562907053,ba2ef5cf-e0b4-4354-b956-da86fb088c5c
33,34,CHIRIQUÍ,ALANJE,EL TEJAR,61.0,0.0,15.0,3.0,1.0,42.0,327580.635929151,932865.582595727,9d37b332-d9f6-4657-afc8-e240705cc1a4
34,35,CHIRIQUÍ,ALANJE,GUARUMAL,13.0,0.0,2.0,1.0,0.0,10.0,330710.884523277,920875.688075777,c349c152-b9a5-4951-b7ac-ea8eb1b07e7e
35,36,CHIRIQUÍ,ALANJE,NUEVO MEXICO,78.0,0.0,4.0,2.0,0.0,72.0,308181.397806044,930500.982477502,c3cfb8cf-64ad-4c38-aeb0-64eb1d49f409
36,37,CHIRIQUÍ,ALANJE,PALO GRANDE,,,,,,,323520.586931783,923122.786260776,c8774a79-5ea9-4ad1-a490-fed4cec56d01
37,38,CHIRIQUÍ,ALANJE,QUEREVALO,4.0,2.0,1.0,0.0,0.0,1.0,334351.370072106,923221.111554184,ead27d72-befc-45c1-b279-679b6ccda05a
38,39,CHIRIQUÍ,ALANJE,SANTO TOMAS,18.0,0.0,15.0,0.0,0.0,3.0,317823.738238508,927833.371831622,1d5a569e-5d28-4dca-b1d7-d1f039239c35
39,40,CHIRIQUÍ,BARÚ,BACO,60.0,1.0,18.0,2.0,0.0,39.0,304855.027179253,925263.015422137,3a6b50c1-9dcb-4fbb-8e2a-b8c7f2d06cef
40,41,CHIRIQUÍ,BARÚ,LIMONES,,,,,,,292504.373166534,896712.632876497,a80da60f-d48d-415a-b26c-cff683cb6941
41,42,CHIRIQUÍ,BARÚ,PROGRESO,155.0,7.0,86.0,7.0,1.0,54.0,298296.202639732,935596.073751377,21860bae-8f8d-4a65-a8f5-e19704615ce3
42,43,CHIRIQUÍ,BARÚ,PUERTO ARMUELLES (CABECERA),227.0,10.0,93.0,19.0,1.0,104.0,288653.341259404,916618.605659843,d910ad22-72e2-4bde-9861-9c4ec243d2ec
43,44,CHIRIQUÍ,BARÚ,RODOLFO AGUILAR DELGADO,181.0,3.0,56.0,11.0,1.0,110.0,291436.275207612,925711.335441653,2b81a5e4-061b-4611-874d-e406256f2ab4
44,45,CHIRIQUÍ,BOQUERÓN,BAGALA,36.0,2.0,18.0,1.0,0.0,15.0,330306.886678861,941949.030633746,61229e3b-99cf-4c59-8cc8-1e8461618673
45,46,CHIRIQUÍ,BOQUERÓN,BOQUERON (CABECERA),65.0,3.0,32.0,2.0,0.0,28.0,326079.306287648,944437.239652702,d9d85a50-252c-4c08-8c55-8fa14a60eb5c
46,47,CHIRIQUÍ,BOQUERÓN,CORDILLERA,,,,,,,323660.080979924,965459.181971878,4eb9f401-b749-490b-ba68-d02b909c90a0
47,48,CHIRIQUÍ,BOQUERÓN,GUABAL,2.0,0.0,2.0,0.0,0.0,0.0,329849.437783313,952257.613108378,100b92e9-42fc-4411-a38c-9d6a98e05cef
48,49,CHIRIQUÍ,BOQUERÓN,GUAYABAL,1.0,1.0,0.0,0.0,0.0,0.0,327387.336018557,957659.325565604,ac69cfc8-73d5-4bb7-8bb6-e9fce141b33f
49,50,CHIRIQUÍ,BOQUERÓN,PARAISO,2.0,0.0,2.0,0.0,0.0,0.0,325786.755259525,963173.909506915,0e2b577d-187e-4562-990f-64a93071526e
50,51,CHIRIQUÍ,BOQUERÓN,PEDREGAL,1.0,0.0,1.0,0.0,0.0,0.0,324184.351466728,938329.669663512,acb69157-c367-449c-ad30-fbe034c6fec2
51,52,CHIRIQUÍ,BOQUERÓN,TIJERAS,16.0,0.0,1.0,0.0,0.0,15.0,327416.527546163,936770.982525375,94451311-0fae-4e38-a2ab-137069fe8125
52,53,CHIRIQUÍ,BOQUETE,ALTO BOQUETE,61.0,1.0,37.0,1.0,0.0,22.0,343370.263107145,959438.323555251,c20b1f80-1d8c-40d2-9529-a126fad74cd1
53,54,CHIRIQUÍ,BOQUETE,BAJO BOQUETE,22.0,2.0,13.0,1.0,0.0,6.0,339654.935971288,970796.489728634,f7c5eb7f-ae8f-4a92-b30f-77857e4ef8e3
54,55,CHIRIQUÍ,BOQUETE,CALDERA,4.0,0.0,4.0,0.0,0.0,0.0,352590.811690043,963501.190580884,292294b9-29e3-4e02-bc5a-c5e7b91fc860
55,56,CHIRIQUÍ,BOQUETE,JARAMILLO,1.0,0.0,1.0,0.0,0.0,0.0,347963.480005768,969425.352852077,bac749cd-f9bf-45a4-8e2e-be0b1cb9f975
56,57,CHIRIQUÍ,BOQUETE,LOS NARANJOS,38.0,0.0,31.0,1.0,0.0,6.0,338295.92801176,976079.525805111,3c565b19-99cf-4687-a773-8cd0c2ce8902
57,58,CHIRIQUÍ,BOQUETE,PALMIRA,8.0,0.0,8.0,0.0,0.0,0.0,336097.69624316,968905.165828291,53023694-fbb2-47a6-bd34-81b334ae85bc
58,59,CHIRIQUÍ,BUGABA,ASERRIO DE GARICHE,32.0,2.0,18.0,0.0,0.0,12.0,304182.453838584,939962.308340233,8587c1be-673e-4395-8d4d-cc163ca07943
59,60,CHIRIQUÍ,BUGABA,BUGABA,204.0,10.0,134.0,1.0,1.0,58.0,321586.962022615,937961.595512964,3a000d0a-2628-4ea4-8996-e02b79683098
60,61,CHIRIQUÍ,BUGABA,EL BONGO,,,,,,,322578.318562602,951652.388128473,e0a158a3-4856-4118-80f8-139e9cbf5cd9
61,62,CHIRIQUÍ,BUGABA,GOMEZ,3.0,1.0,1.0,0.0,0.0,1.0,307453.232287419,947542.80949542,cc691708-f4f2-49e2-8cf0-f6e1b5740728
62,63,CHIRIQUÍ,BUGABA,LA CONCEPCION (CABECERA),84.0,3.0,54.0,1.0,0.0,26.0,320070.562422004,946892.120444032,4b3c0a85-510c-4e0d-b632-1996a5651c1d
63,64,CHIRIQUÍ,BUGABA,LA ESTRELLA,19.0,2.0,8.0,3.0,0.0,6.0,316405.631648336,939840.104272816,543866c3-3c92-48b4-a1d6-f45f72a261d4
64,65,CHIRIQUÍ,BUGABA,LA MATA,7.0,0.0,7.0,0.0,0.0,0.0,310965.998949458,955885.119371395,8ce32d56-50bd-41c1-8551-f8275557a8a1
65,66,CHIRIQUÍ,BUGABA,SAN ISIDRO,12.0,0.0,3.0,0.0,0.0,9.0,300925.364971759,942568.603671972,48049535-ed3e-473e-8522-cd43aff00ce8
66,67,CHIRIQUÍ,BUGABA,SANTA MARTA,33.0,3.0,16.0,4.0,0.0,10.0,312796.617701973,941701.144386185,2b1e6c3d-1248-4725-83c7-ecdc303a2fe2
67,68,CHIRIQUÍ,BUGABA,SANTA ROSA,,,,,,,315445.104424152,952749.27336991,ced7af5b-0af4-4a69-9d10-2c6ea298469d
68,69,CHIRIQUÍ,BUGABA,SANTO DOMINGO,8.0,0.0,4.0,0.0,0.0,4.0,308732.897468508,938698.438972568,204c6c14-5e20-4281-93f9-d60c2150c947
69,70,CHIRIQUÍ,BUGABA,SOLANO,10.0,2.0,5.0,1.0,0.0,2.0,322804.01842666,942229.053676595,7e565c48-f03d-45dc-9ae0-b1728e61877d
70,71,CHIRIQUÍ,BUGABA,SORTOVA,5.0,1.0,3.0,0.0,0.0,1.0,318275.211206316,949075.685266733,7cc8c4df-ab67-4f6b-bfa1-9597748a6594
71,72,CHIRIQUÍ,DAVID,BIJAGUAL,2.0,0.0,1.0,0.0,1.0,0.0,353527.593928915,940778.57693629,2130b4de-fdee-454c-b1b7-4328123fc5a1
72,73,CHIRIQUÍ,DAVID,CHIRIQUI,36.0,0.0,33.0,0.0,0.0,3.0,357328.394360835,925497.149514126,62b807fd-00fc-46ff-9d0f-6841ad879839
73,74,CHIRIQUÍ,DAVID,COCHEA,4.0,0.0,3.0,0.0,0.0,1.0,349084.197955361,946203.117001151,08c79e71-163e-420c-b7bf-f9bb819e81bb
74,75,CHIRIQUÍ,DAVID,DAVID (CABECERA),904.0,36.0,374.0,24.0,5.0,465.0,343317.071770489,934432.943761853,7be4a1ad-309b-4806-b769-f56f8253bd25
75,76,CHIRIQUÍ,DAVID,DAVID ESTE,28.0,1.0,17.0,3.0,0.0,7.0,344632.726519572,926674.439868336,70149219-d593-4e7c-9dec-01b8e7846ff5
76,77,CHIRIQUÍ,DAVID,DAVID SUR,43.0,2.0,28.0,2.0,0.0,11.0,340676.223262433,928803.636250663,d72dc05b-a26a-4191-a4d4-e817d7049fc1
77,78,CHIRIQUÍ,DAVID,GUACA,2.0,0.0,0.0,0.0,0.0,2.0,334670.457552301,950408.517464672,cff5ce61-f925-4955-9244-90bcebb0f523
78,79,CHIRIQUÍ,DAVID,LAS LOMAS,179.0,12.0,99.0,4.0,0.0,64.0,348405.684287298,933469.597156679,a53aae51-b116-4709-bdb0-8a581b8b577d
79,80,CHIRIQUÍ,DAVID,PEDREGAL,158.0,9.0,60.0,3.0,0.0,86.0,348244.123244278,915038.083971091,1dc01556-04d0-4e60-903b-100b5963dcc2
80,81,CHIRIQUÍ,DAVID,SAN CARLOS,10.0,0.0,8.0,0.0,0.0,2.0,333804.301575898,943082.015774754,b7edaca1-d40a-4dbf-8aef-ed8fdf957b68
81,82,CHIRIQUÍ,DAVID,SAN PABLO NUEVO,21.0,0.0,5.0,1.0,1.0,14.0,335980.230942216,927678.140219801,03f5712f-8c7f-4a0e-abcb-105b678e87fe
82,83,CHIRIQUÍ,DAVID,SAN PABLO VIEJO,56.0,0.0,28.0,1.0,0.0,27.0,336398.68790378,935546.7193262,d5d38f2d-c1bb-4021-bd6d-a6bf42615197
83,84,CHIRIQUÍ,DOLEGA,DOLEGA (CABECERA),125.0,4.0,97.0,2.0,0.0,22.0,342974.862877088,948040.117860982,8ec65dab-2b4f-465a-934b-b360f38911ca
84,85,CHIRIQUÍ,DOLEGA,DOS RIOS,3.0,1.0,2.0,0.0,0.0,0.0,347055.657088456,943715.127687186,e38a536b-0379-4e85-9588-e6831417a435
85,86,CHIRIQUÍ,DOLEGA,LOS ALGARROBOS,51.0,4.0,25.0,3.0,0.0,19.0,341947.731463236,943517.242356174,99352d51-55af-4942-bb80-7391ba474de7
86,87,CHIRIQUÍ,DOLEGA,LOS ANASTACIOS,18.0,0.0,6.0,0.0,0.0,12.0,344267.170273151,943461.65389952,3ecca0d8-8d91-42c9-93ce-ea6b3b8f87ee
87,88,CHIRIQUÍ,DOLEGA,POTRERILLOS,3.0,0.0,1.0,0.0,0.0,2.0,335695.127585074,963529.391666235,cdcc732e-dbe3-4485-9906-cded821d40ed
88,89,CHIRIQUÍ,DOLEGA,POTRERILLOS  ABAJO,2.0,0.0,2.0,0.0,0.0,0.0,338619.423660383,955042.288223772,a6ed2329-ee94-4e51-acc7-5094ee5e99df
89,90,CHIRIQUÍ,DOLEGA,ROVIRA,,,,,,,333034.622092868,960194.964262996,9e17d833-30d2-4025-9d91-e81817a53ef4
90,91,CHIRIQUÍ,DOLEGA,TINAJAS,3.0,0.0,2.0,0.0,0.0,1.0,338044.196521973,947566.012681815,a044c927-d7cc-4b76-9503-bd8c05c4049b
91,92,CHIRIQUÍ,GUALACA,GUALACA (CABECERA),44.0,2.0,31.0,3.0,0.0,8.0,362162.680963159,948724.946611182,9beba209-8f78-41ce-bf9e-959e3b634f79
